"warning_name","SurveyorID","Submission.Id","Orig.collection.date","Quad.Sub.Quad","StemTag","Species","QX","QY","DBH","Status.census.2","HOM","Status.2021","Crown.position","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Dead.with.resprout","Notes.2021"
"Dead_but_now_alive","LM","814db3ea-2008-489f-a0ac-7db9c21e23c0","2021-07-08","0212-12",20994,"pinust",3.16884,6.6619,NA,"D",1.3,"AU",3,85,50,NA,0,"R,AN",NA,NA,2,"FALSE","Tree is alive"
"Dead_but_now_alive",NA,"f39e5f07-9c3f-424a-8f37-b321b39ff59c","2021-07-10","0225-21",22773,"fagugr",1.3403,5.02981,16.4,NA,1.3,"A",3,100,100,NA,0,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","DJ","9b8534a5-29fb-417e-82ef-1cf337101870","2021-07-10","0414-12",41159,"betupa",4.92248,1.5508,13.6,NA,1.3,"A",1,100,100,NA,0,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","DJ","d003a067-14f1-42dd-834d-fddc27d5b2ec","2021-07-10","0419-11",41643,"tsugca",8.28541,9.03789,NA,"D",1.3,"AU",2,100,96,NA,0,"I,LF",NA,NA,NA,"FALSE",NA
"Dead_but_now_alive","RB","c0082bcf-63be-470e-adf4-1b81ac42de69","2021-07-10","0509-12",50789,"acerru",2.96275,6.6174,NA,"D",1.3,"AU",2,90,64,NA,0,"I,LF",NA,NA,NA,"FALSE",NA
"Dead_but_now_alive","LM","2bc19f6f-3ade-4f6e-9b76-a3ae4d8366b9","2021-07-11","0120-11",11487,"acerru",5.77793,5.97158,NA,"D",1.3,"AU",3,75,75,16,0,"B",NA,NA,NA,"FALSE","Error tree is alive 有JM"
"Dead_but_now_alive",NA,"f39e5f07-9c3f-424a-8f37-b321b39ff59c","2021-07-10","0225-21",22773,"fagugr",1.3403,5.02981,16.4,NA,1.3,"A",3,100,100,NA,0,NA,NA,NA,NA,"FALSE",NA
"Dead_but_now_alive","RB","d4cd8a11-ca1b-4906-a30c-1cb556993389","2021-07-11","0515-22",51337,"tsugca",8.612,3.0463,NA,"D",1.3,"A",4,40,0,NA,0,NA,NA,NA,NA,NA,NA
"Dead_but_now_alive","LM","2bc19f6f-3ade-4f6e-9b76-a3ae4d8366b9","2021-07-11","0120-11",11487,"acerru",5.77793,5.97158,NA,"D",1.3,"AU",3,75,75,16,0,"B",NA,NA,NA,"False","Error tree is alive 窶猫JM"
"Dead_but_now_alive","LM","814db3ea-2008-489f-a0ac-7db9c21e23c0","2021-07-08","0212-12",20994,"pinust",3.16884,6.6619,NA,"D",1.3,"AU",3,85,50,NA,0,"R,AN",NA,NA,2,"False","Tree is alive"
